team,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022,code,country,confederation,url
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,16.0,20.0,20.0,24.0,24.0,26.0,29.0,DEN,Denmark,UEFA,https://countryflagsapi.com/png/denmark
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,12.0,15.0,15.0,17.0,ECU,Ecuador,CONMEBOL,https://countryflagsapi.com/png/ecuador
Egypt,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,9.0,EGY,Egypt,CAF,https://countryflagsapi.com/png/egypt
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,ESA,El Salvador,CONCACF,https://countryflagsapi.com/png/el%20salvador
England,0.0,0.0,0.0,0.0,6.0,10.0,15.0,26.0,30.0,30.0,30.0,36.0,45.0,53.0,53.0,59.0,61.0,67.0,72.0,75.0,87.0,97.0,ENG,England,UEFA,https://countryflagsapi.com/png/england
France,6.0,9.0,13.0,13.0,16.0,42.0,42.0,46.0,46.0,46.0,52.0,70.0,76.0,76.0,76.0,91.0,93.0,96.0,98.0,105.0,117.0,133.0,FRA,France,UEFA,https://countryflagsapi.com/png/france
German DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,
Germany,0.0,9.0,12.0,12.0,32.0,47.0,49.0,66.0,79.0,92.0,103.0,116.0,124.0,139.0,149.0,157.0,168.0,182.0,192.0,202.0,206.0,210.0,GER,Germany,UEFA,https://countryflagsapi.com/png/germany
Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,15.0,15.0,20.0,GHA,Ghana,CAF,https://countryflagsapi.com/png/ghana
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,12.0,18.0,18.0,18.0,GRE,Greece,UEFA,https://countryflagsapi.com/png/greece
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,HAI,Haiti,CONCACF,https://countryflagsapi.com/png/haiti
Honduras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,8.0,8.0,8.0,HON,Honduras,CONCACF,https://countryflagsapi.com/png/honduras
